00      //HPF => Output Amplitude: z[000]=   0
00      //HPF => Output Amplitude: z[001]=   0
01      //HPF => Output Amplitude: z[002]=   1
FD      //HPF => Output Amplitude: z[003]=  -3
FB      //HPF => Output Amplitude: z[004]=  -5
0C      //HPF => Output Amplitude: z[005]=  12
11      //HPF => Output Amplitude: z[006]=  17
BD      //HPF => Output Amplitude: z[007]= -67
37      //HPF => Output Amplitude: z[008]=  55
1A      //HPF => Output Amplitude: z[009]=  26
CB      //HPF => Output Amplitude: z[010]= -53
E7      //HPF => Output Amplitude: z[011]= -25
4E      //HPF => Output Amplitude: z[012]=  78
E3      //HPF => Output Amplitude: z[013]= -29
F8      //HPF => Output Amplitude: z[014]=  -8
D5      //HPF => Output Amplitude: z[015]= -43
40      //HPF => Output Amplitude: z[016]=  64
11      //HPF => Output Amplitude: z[017]=  17
BC      //HPF => Output Amplitude: z[018]= -68
F9      //HPF => Output Amplitude: z[019]=  -7
51      //HPF => Output Amplitude: z[020]=  81
DB      //HPF => Output Amplitude: z[021]= -37
EF      //HPF => Output Amplitude: z[022]= -17
DB      //HPF => Output Amplitude: z[023]= -37
5F      //HPF => Output Amplitude: z[024]=  95
E0      //HPF => Output Amplitude: z[025]= -32
C4      //HPF => Output Amplitude: z[026]= -60
36      //HPF => Output Amplitude: z[027]=  54
FA      //HPF => Output Amplitude: z[028]=  -6
0E      //HPF => Output Amplitude: z[029]=  14
DD      //HPF => Output Amplitude: z[030]= -35
04      //HPF => Output Amplitude: z[031]=   4
18      //HPF => Output Amplitude: z[032]=  24
07      //HPF => Output Amplitude: z[033]=   7
D6      //HPF => Output Amplitude: z[034]= -42
0F      //HPF => Output Amplitude: z[035]=  15
17      //HPF => Output Amplitude: z[036]=  23
02      //HPF => Output Amplitude: z[037]=   2
DB      //HPF => Output Amplitude: z[038]= -37
FD      //HPF => Output Amplitude: z[039]=  -3
37      //HPF => Output Amplitude: z[040]=  55
EA      //HPF => Output Amplitude: z[041]= -22
EA      //HPF => Output Amplitude: z[042]= -22
EC      //HPF => Output Amplitude: z[043]= -20
41      //HPF => Output Amplitude: z[044]=  65
EC      //HPF => Output Amplitude: z[045]= -20
E5      //HPF => Output Amplitude: z[046]= -27
FA      //HPF => Output Amplitude: z[047]=  -6
18      //HPF => Output Amplitude: z[048]=  24
20      //HPF => Output Amplitude: z[049]=  32
CE      //HPF => Output Amplitude: z[050]= -50
E8      //HPF => Output Amplitude: z[051]= -24
40      //HPF => Output Amplitude: z[052]=  64
02      //HPF => Output Amplitude: z[053]=   2
C6      //HPF => Output Amplitude: z[054]= -58
13      //HPF => Output Amplitude: z[055]=  19
1C      //HPF => Output Amplitude: z[056]=  28
04      //HPF => Output Amplitude: z[057]=   4
D1      //HPF => Output Amplitude: z[058]= -47
0D      //HPF => Output Amplitude: z[059]=  13
27      //HPF => Output Amplitude: z[060]=  39
F4      //HPF => Output Amplitude: z[061]= -12
DD      //HPF => Output Amplitude: z[062]= -35
01      //HPF => Output Amplitude: z[063]=   1
2D      //HPF => Output Amplitude: z[064]=  45
06      //HPF => Output Amplitude: z[065]=   6
C4      //HPF => Output Amplitude: z[066]= -60
03      //HPF => Output Amplitude: z[067]=   3
3B      //HPF => Output Amplitude: z[068]=  59
FD      //HPF => Output Amplitude: z[069]=  -3
C6      //HPF => Output Amplitude: z[070]= -58
00      //HPF => Output Amplitude: z[071]=   0
45      //HPF => Output Amplitude: z[072]=  69
E1      //HPF => Output Amplitude: z[073]= -31
E8      //HPF => Output Amplitude: z[074]= -24
FC      //HPF => Output Amplitude: z[075]=  -4
20      //HPF => Output Amplitude: z[076]=  32
0F      //HPF => Output Amplitude: z[077]=  15
D8      //HPF => Output Amplitude: z[078]= -40
E5      //HPF => Output Amplitude: z[079]= -27
49      //HPF => Output Amplitude: z[080]=  73
F5      //HPF => Output Amplitude: z[081]= -11
CF      //HPF => Output Amplitude: z[082]= -49
06      //HPF => Output Amplitude: z[083]=   6
25      //HPF => Output Amplitude: z[084]=  37
12      //HPF => Output Amplitude: z[085]=  18
C3      //HPF => Output Amplitude: z[086]= -61
F1      //HPF => Output Amplitude: z[087]= -15
5A      //HPF => Output Amplitude: z[088]=  90
E7      //HPF => Output Amplitude: z[089]= -25
BA      //HPF => Output Amplitude: z[090]= -70
27      //HPF => Output Amplitude: z[091]=  39
2C      //HPF => Output Amplitude: z[092]=  44
D9      //HPF => Output Amplitude: z[093]= -39
00      //HPF => Output Amplitude: z[094]=   0
DF      //HPF => Output Amplitude: z[095]= -33
4B      //HPF => Output Amplitude: z[096]=  75
D4      //HPF => Output Amplitude: z[097]= -44
0C      //HPF => Output Amplitude: z[098]=  12
D3      //HPF => Output Amplitude: z[099]= -45
3C      //HPF => Output Amplitude: z[100]=  60
04      //HPF => Output Amplitude: z[101]=   4
C6      //HPF => Output Amplitude: z[102]= -58
11      //HPF => Output Amplitude: z[103]=  17
27      //HPF => Output Amplitude: z[104]=  39
F6      //HPF => Output Amplitude: z[105]= -10
D7      //HPF => Output Amplitude: z[106]= -41
10      //HPF => Output Amplitude: z[107]=  16
1D      //HPF => Output Amplitude: z[108]=  29
FE      //HPF => Output Amplitude: z[109]=  -2
E0      //HPF => Output Amplitude: z[110]= -32
