00      //LPF => Output Amplitude: y[000]=   0
00      //LPF => Output Amplitude: y[001]=   0
01      //LPF => Output Amplitude: y[002]=   1
02      //LPF => Output Amplitude: y[003]=   2
FA      //LPF => Output Amplitude: y[004]=  -6
F8      //LPF => Output Amplitude: y[005]=  -8
18      //LPF => Output Amplitude: y[006]=  24
35      //LPF => Output Amplitude: y[007]=  53
12      //LPF => Output Amplitude: y[008]=  18
E6      //LPF => Output Amplitude: y[009]= -26
06      //LPF => Output Amplitude: y[010]=   6
37      //LPF => Output Amplitude: y[011]=  55
0A      //LPF => Output Amplitude: y[012]=  10
C6      //LPF => Output Amplitude: y[013]= -58
E7      //LPF => Output Amplitude: y[014]= -25
24      //LPF => Output Amplitude: y[015]=  36
07      //LPF => Output Amplitude: y[016]=   7
DE      //LPF => Output Amplitude: y[017]= -34
12      //LPF => Output Amplitude: y[018]=  18
47      //LPF => Output Amplitude: y[019]=  71
13      //LPF => Output Amplitude: y[020]=  19
DD      //LPF => Output Amplitude: y[021]= -35
0F      //LPF => Output Amplitude: y[022]=  15
39      //LPF => Output Amplitude: y[023]=  57
00      //LPF => Output Amplitude: y[024]=   0
D2      //LPF => Output Amplitude: y[025]= -46
07      //LPF => Output Amplitude: y[026]=   7
32      //LPF => Output Amplitude: y[027]=  50
FA      //LPF => Output Amplitude: y[028]=  -6
BA      //LPF => Output Amplitude: y[029]= -70
CD      //LPF => Output Amplitude: y[030]= -51
FB      //LPF => Output Amplitude: y[031]=  -5
FC      //LPF => Output Amplitude: y[032]=  -4
F9      //LPF => Output Amplitude: y[033]=  -7
18      //LPF => Output Amplitude: y[034]=  24
26      //LPF => Output Amplitude: y[035]=  38
06      //LPF => Output Amplitude: y[036]=   6
01      //LPF => Output Amplitude: y[037]=   1
32      //LPF => Output Amplitude: y[038]=  50
36      //LPF => Output Amplitude: y[039]=  54
E3      //LPF => Output Amplitude: y[040]= -29
B7      //LPF => Output Amplitude: y[041]= -73
FC      //LPF => Output Amplitude: y[042]=  -4
3D      //LPF => Output Amplitude: y[043]=  61
15      //LPF => Output Amplitude: y[044]=  21
E6      //LPF => Output Amplitude: y[045]= -26
19      //LPF => Output Amplitude: y[046]=  25
56      //LPF => Output Amplitude: y[047]=  86
2B      //LPF => Output Amplitude: y[048]=  43
E3      //LPF => Output Amplitude: y[049]= -29
FB      //LPF => Output Amplitude: y[050]=  -5
30      //LPF => Output Amplitude: y[051]=  48
0F      //LPF => Output Amplitude: y[052]=  15
D2      //LPF => Output Amplitude: y[053]= -46
E7      //LPF => Output Amplitude: y[054]= -25
18      //LPF => Output Amplitude: y[055]=  24
0D      //LPF => Output Amplitude: y[056]=  13
FC      //LPF => Output Amplitude: y[057]=  -4
1D      //LPF => Output Amplitude: y[058]=  29
28      //LPF => Output Amplitude: y[059]=  40
F4      //LPF => Output Amplitude: y[060]= -12
E5      //LPF => Output Amplitude: y[061]= -27
23      //LPF => Output Amplitude: y[062]=  35
34      //LPF => Output Amplitude: y[063]=  52
DD      //LPF => Output Amplitude: y[064]= -35
AA      //LPF => Output Amplitude: y[065]= -86
F2      //LPF => Output Amplitude: y[066]= -14
2A      //LPF => Output Amplitude: y[067]=  42
E8      //LPF => Output Amplitude: y[068]= -24
AE      //LPF => Output Amplitude: y[069]= -82
F3      //LPF => Output Amplitude: y[070]= -13
3F      //LPF => Output Amplitude: y[071]=  63
15      //LPF => Output Amplitude: y[072]=  21
D6      //LPF => Output Amplitude: y[073]= -42
F4      //LPF => Output Amplitude: y[074]= -12
1D      //LPF => Output Amplitude: y[075]=  29
EE      //LPF => Output Amplitude: y[076]= -18
BF      //LPF => Output Amplitude: y[077]= -65
F1      //LPF => Output Amplitude: y[078]= -15
2D      //LPF => Output Amplitude: y[079]=  45
0D      //LPF => Output Amplitude: y[080]=  13
E3      //LPF => Output Amplitude: y[081]= -29
11      //LPF => Output Amplitude: y[082]=  17
3B      //LPF => Output Amplitude: y[083]=  59
02      //LPF => Output Amplitude: y[084]=   2
CE      //LPF => Output Amplitude: y[085]= -50
06      //LPF => Output Amplitude: y[086]=   6
33      //LPF => Output Amplitude: y[087]=  51
F8      //LPF => Output Amplitude: y[088]=  -8
CC      //LPF => Output Amplitude: y[089]= -52
06      //LPF => Output Amplitude: y[090]=   6
28      //LPF => Output Amplitude: y[091]=  40
E1      //LPF => Output Amplitude: y[092]= -31
B7      //LPF => Output Amplitude: y[093]= -73
FC      //LPF => Output Amplitude: y[094]=  -4
3A      //LPF => Output Amplitude: y[095]=  58
0D      //LPF => Output Amplitude: y[096]=  13
D5      //LPF => Output Amplitude: y[097]= -43
F6      //LPF => Output Amplitude: y[098]= -10
2E      //LPF => Output Amplitude: y[099]=  46
20      //LPF => Output Amplitude: y[100]=  32
FF      //LPF => Output Amplitude: y[101]=  -1
14      //LPF => Output Amplitude: y[102]=  20
21      //LPF => Output Amplitude: y[103]=  33
F9      //LPF => Output Amplitude: y[104]=  -7
F1      //LPF => Output Amplitude: y[105]= -15
36      //LPF => Output Amplitude: y[106]=  54
56      //LPF => Output Amplitude: y[107]=  86
0E      //LPF => Output Amplitude: y[108]=  14
CF      //LPF => Output Amplitude: y[109]= -49
F3      //LPF => Output Amplitude: y[110]= -13
23      //LPF => Output Amplitude: y[111]=  35
05      //LPF => Output Amplitude: y[112]=   5
E5      //LPF => Output Amplitude: y[113]= -27
10      //LPF => Output Amplitude: y[114]=  16
34      //LPF => Output Amplitude: y[115]=  52
02      //LPF => Output Amplitude: y[116]=   2
D9      //LPF => Output Amplitude: y[117]= -39
0C      //LPF => Output Amplitude: y[118]=  12
38      //LPF => Output Amplitude: y[119]=  56
02      //LPF => Output Amplitude: y[120]=   2
CC      //LPF => Output Amplitude: y[121]= -52
02      //LPF => Output Amplitude: y[122]=   2
4A      //LPF => Output Amplitude: y[123]=  74
2D      //LPF => Output Amplitude: y[124]=  45
E2      //LPF => Output Amplitude: y[125]= -30
E5      //LPF => Output Amplitude: y[126]= -27
11      //LPF => Output Amplitude: y[127]=  17
F8      //LPF => Output Amplitude: y[128]=  -8
C6      //LPF => Output Amplitude: y[129]= -58
E3      //LPF => Output Amplitude: y[130]= -29
10      //LPF => Output Amplitude: y[131]=  16
E3      //LPF => Output Amplitude: y[132]= -29
B2      //LPF => Output Amplitude: y[133]= -78
EA      //LPF => Output Amplitude: y[134]= -22
2C      //LPF => Output Amplitude: y[135]=  44
0C      //LPF => Output Amplitude: y[136]=  12
E8      //LPF => Output Amplitude: y[137]= -24
17      //LPF => Output Amplitude: y[138]=  23
2A      //LPF => Output Amplitude: y[139]=  42
D9      //LPF => Output Amplitude: y[140]= -39
A4      //LPF => Output Amplitude: y[141]= -92
EB      //LPF => Output Amplitude: y[142]= -21
37      //LPF => Output Amplitude: y[143]=  55
1A      //LPF => Output Amplitude: y[144]=  26
