69      //Input Amplitude: x[000]= 105
E7      //Input Amplitude: x[001]= -25
BD      //Input Amplitude: x[002]= -67
35      //Input Amplitude: x[003]=  53
62      //Input Amplitude: x[004]=  98
AC      //Input Amplitude: x[005]= -84
CE      //Input Amplitude: x[006]= -50
02      //Input Amplitude: x[007]=   2
5A      //Input Amplitude: x[008]=  90
CF      //Input Amplitude: x[009]= -49
BC      //Input Amplitude: x[010]= -68
57      //Input Amplitude: x[011]=  87
65      //Input Amplitude: x[012]= 101
AF      //Input Amplitude: x[013]= -81
ED      //Input Amplitude: x[014]= -19
2D      //Input Amplitude: x[015]=  45
67      //Input Amplitude: x[016]= 103
9B      //Input Amplitude: x[017]= -101
D3      //Input Amplitude: x[018]= -45
62      //Input Amplitude: x[019]=  98
06      //Input Amplitude: x[020]=   6
D9      //Input Amplitude: x[021]= -39
A7      //Input Amplitude: x[022]= -89
01      //Input Amplitude: x[023]=   1
0F      //Input Amplitude: x[024]=  15
EA      //Input Amplitude: x[025]= -22
EA      //Input Amplitude: x[026]= -22
42      //Input Amplitude: x[027]=  66
1E      //Input Amplitude: x[028]=  30
EA      //Input Amplitude: x[029]= -22
FE      //Input Amplitude: x[030]=  -2
52      //Input Amplitude: x[031]=  82
31      //Input Amplitude: x[032]=  49
9A      //Input Amplitude: x[033]= -102
CD      //Input Amplitude: x[034]= -51
2E      //Input Amplitude: x[035]=  46
5D      //Input Amplitude: x[036]=  93
C6      //Input Amplitude: x[037]= -58
EA      //Input Amplitude: x[038]= -22
4A      //Input Amplitude: x[039]=  74
5C      //Input Amplitude: x[040]=  92
FE      //Input Amplitude: x[041]=  -2
B5      //Input Amplitude: x[042]= -75
2A      //Input Amplitude: x[043]=  42
5B      //Input Amplitude: x[044]=  91
C9      //Input Amplitude: x[045]= -55
B2      //Input Amplitude: x[046]= -78
2F      //Input Amplitude: x[047]=  47
22      //Input Amplitude: x[048]=  34
EB      //Input Amplitude: x[049]= -21
EB      //Input Amplitude: x[050]= -21
4B      //Input Amplitude: x[051]=  75
21      //Input Amplitude: x[052]=  33
C4      //Input Amplitude: x[053]= -60
EF      //Input Amplitude: x[054]= -17
4D      //Input Amplitude: x[055]=  77
2A      //Input Amplitude: x[056]=  42
A1      //Input Amplitude: x[057]= -95
A2      //Input Amplitude: x[058]= -94
41      //Input Amplitude: x[059]=  65
37      //Input Amplitude: x[060]=  55
9D      //Input Amplitude: x[061]= -99
A6      //Input Amplitude: x[062]= -90
47      //Input Amplitude: x[063]=  71
5A      //Input Amplitude: x[064]=  90
B7      //Input Amplitude: x[065]= -73
DA      //Input Amplitude: x[066]= -38
20      //Input Amplitude: x[067]=  32
26      //Input Amplitude: x[068]=  38
C5      //Input Amplitude: x[069]= -59
B0      //Input Amplitude: x[070]= -80
22      //Input Amplitude: x[071]=  34
5C      //Input Amplitude: x[072]=  92
C2      //Input Amplitude: x[073]= -62
D7      //Input Amplitude: x[074]= -41
4D      //Input Amplitude: x[075]=  77
3C      //Input Amplitude: x[076]=  60
CF      //Input Amplitude: x[077]= -49
B4      //Input Amplitude: x[078]= -76
44      //Input Amplitude: x[079]=  68
57      //Input Amplitude: x[080]=  87
97      //Input Amplitude: x[081]= -105
C7      //Input Amplitude: x[082]= -57
61      //Input Amplitude: x[083]=  97
13      //Input Amplitude: x[084]=  19
94      //Input Amplitude: x[085]= -108
E2      //Input Amplitude: x[086]= -30
1C      //Input Amplitude: x[087]=  28
60      //Input Amplitude: x[088]=  96
AF      //Input Amplitude: x[089]= -81
F1      //Input Amplitude: x[090]= -15
01      //Input Amplitude: x[091]=   1
62      //Input Amplitude: x[092]=  98
EA      //Input Amplitude: x[093]= -22
DF      //Input Amplitude: x[094]= -33
49      //Input Amplitude: x[095]=  73
